id;name;url;nodes
8159;Футболки;https://www.wildberries.by/catalog?category=8159;men_clothes6
129257;Футболки-поло;https://www.wildberries.by/catalog?category=129257;men_clothes5
129172;Халаты;https://www.wildberries.by/catalog?category=129172;men_clothes5
11428;Шорты;https://www.wildberries.by/catalog?category=11428;men_clothes5
567;Белье;https://www.wildberries.by/catalog?category=567;men_mixtape
9002;Большие размеры;https://www.wildberries.by/catalog?category=9002;men_mixtape
9003;Белье и плавки;https://www.wildberries.by/catalog?category=9003;men_mixtape
9004;Брюки и джинсы;https://www.wildberries.by/catalog?category=9004;men_mixtape
9005;Верхняя одежда;https://www.wildberries.by/catalog?category=9005;men_mixtape
9006;Джемперы и толстовки;https://www.wildberries.by/catalog?category=9006;men_mixtape
9007;Костюмы и пиджаки;https://www.wildberries.by/catalog?category=9007;men_mixtape
9009;Рубашки;https://www.wildberries.by/catalog?category=9009;men_mixtape
9010;Футболки;https://www.wildberries.by/catalog?category=9010;men_mixtape
60898;Для высоких;https://www.wildberries.by/catalog?category=60898;men_clothes9
60899;Для невысоких;https://www.wildberries.by/catalog?category=60899;men_clothes9
8154;Одежда для дома;https://www.wildberries.by/catalog?category=8154;men_clothes8
10471;Офис;https://www.wildberries.by/catalog?category=10471;men_clothes5
10039;Пляжная одежда;https://www.wildberries.by/catalog?category=10039;men_mixtape
61446;Религиозная;https://www.wildberries.by/catalog?category=61446;men_clothes5
61447;Ислам;https://www.wildberries.by/catalog?category=61447;men_clothes5
61486;Православие;https://www.wildberries.by/catalog?category=61486;men_clothes5
10017;Свадьба;https://www.wildberries.by/catalog?category=10017;wedding
7405;Спецодежда и СИЗы;https://www.wildberries.by/catalog?category=7405;work_clothes
128454;Медицинская одежда;https://www.wildberries.by/catalog?category=128454;work_clothes
128455;Униформа и рабочая одежда;https://www.wildberries.by/catalog?category=128455;work_clothes
128456;Головные уборы;https://www.wildberries.by/catalog?category=128456;work_clothes
128457;Рабочая обувь;https://www.wildberries.by/catalog?category=128457;work_clothes
128458;Одноразовые изделия;https://www.wildberries.by/catalog?category=128458;work_clothes
128459;Средства защиты органов дыхания;https://www.wildberries.by/catalog?category=128459;work_clothes
128460;Средства индивидуальной защиты;https://www.wildberries.by/catalog?category=128460;work_clothes
130569;Автотовары;https://www.wildberries.by/catalog?category=130569;gift3
